,filename,width,height,class,xmin,ymin,xmax,ymax
0,200801095.jpg,800,600,plastic_bag,244.0,67.0,608.0,356.0
1,200801095.jpg,800,600,plastic_bag,22.0,422.0,210.0,550.0
2,200801097.jpg,800,600,tire,411.0,100.0,800.0,555.0
3,200801097.jpg,800,600,plastic_bag,291.0,1.0,800.0,105.0
4,200801097.jpg,800,600,plastic_bag,177.0,112.0,409.0,600.0
5,200801099.jpg,320,240,bucket,84.0,82.0,172.0,197.0
6,200801099.jpg,320,240,bucket,209.0,170.0,320.0,238.0
7,20080110.jpg,320,240,box,15.0,99.0,77.0,163.0
8,20080110.jpg,320,240,box,164.0,140.0,291.0,223.0
9,20080124.jpg,800,600,styrofoam,36.0,95.0,657.0,524.0
10,20080124.jpg,800,600,styrofoam,438.0,1.0,800.0,423.0
11,200803071.jpg,800,600,box,333.0,149.0,412.0,269.0
12,200803071.jpg,800,600,styrofoam,425.0,337.0,672.0,578.0
13,200803075.jpg,800,600,bucket,167.0,439.0,294.0,543.0
14,200803075.jpg,800,600,bucket,575.0,455.0,659.0,560.0
15,200803075.jpg,800,600,bucket,512.0,381.0,567.0,454.0
16,200803075.jpg,800,600,bowl,336.0,386.0,494.0,496.0
17,200803075.jpg,800,600,bucket,351.0,248.0,416.0,378.0
18,200803075.jpg,800,600,bucket,419.0,273.0,508.0,400.0
19,200803075.jpg,800,600,bowl,149.0,477.0,329.0,600.0
20,200803075.jpg,800,600,plastic_bag,431.0,352.0,531.0,456.0
21,200803075.jpg,800,600,bucket,449.0,451.0,522.0,556.0
22,20080324.jpg,800,600,styrofoam,389.0,293.0,422.0,321.0
23,200804251.jpg,800,600,plastic_bag,138.0,171.0,590.0,441.0
24,200804252.jpg,800,600,bucket,70.0,322.0,139.0,446.0
25,200804252.jpg,800,600,bucket,129.0,299.0,257.0,460.0
26,200804252.jpg,800,600,bucket,368.0,369.0,487.0,551.0
27,200804252.jpg,800,600,plastic_bag,507.0,478.0,800.0,600.0
28,200804252.jpg,800,600,bucket,294.0,372.0,384.0,524.0
29,200804252.jpg,800,600,bucket,231.0,371.0,302.0,483.0
30,20080428.jpg,250,187,washing_machine,1.0,57.0,76.0,164.0
31,2008043017.jpg,800,600,bucket,155.0,343.0,262.0,464.0
32,20080501.jpg,800,600,bucket,154.0,345.0,262.0,472.0
33,20080501.jpg,800,600,bucket,206.0,225.0,356.0,405.0
34,20080506.jpg,320,240,washing_machine,1.0,23.0,78.0,90.0
35,200805191.jpg,800,600,box,52.0,65.0,660.0,600.0
36,200805191.jpg,800,600,plate,318.0,1.0,652.0,127.0
37,20080520.jpg,600,800,bucket,1.0,148.0,257.0,555.0
